{'Time': '2026-04-13T10:56:58.887703+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17853407', 'Gig0-0_In_uPackets': '158903', 'Gig0-0_Out_Octet': '11751692', 'Gig0-0_Out_uPackets': '105476'}
{'Time': '2026-04-13T10:57:04.537434+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17853835', 'Gig0-0_In_uPackets': '158908', 'Gig0-0_Out_Octet': '11752206', 'Gig0-0_Out_uPackets': '105482'}
{'Time': '2026-04-13T10:58:05.898471+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17855204', 'Gig0-0_In_uPackets': '158922', 'Gig0-0_Out_Octet': '11753354', 'Gig0-0_Out_uPackets': '105496'}
{'Time': '2026-04-13T11:25:41.704831+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17868555', 'Gig0-0_In_uPackets': '159009', 'Gig0-0_Out_Octet': '11772963', 'Gig0-0_Out_uPackets': '105672'}
{'Time': '2026-04-13T11:39:53.352195+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17875292', 'Gig0-0_In_uPackets': '159056', 'Gig0-0_Out_Octet': '11783338', 'Gig0-0_Out_uPackets': '105761'}
{'Time': '2026-04-13T12:24:30.616237+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17896416', 'Gig0-0_In_uPackets': '159194', 'Gig0-0_Out_Octet': '11813423', 'Gig0-0_Out_uPackets': '106030'}
{'Time': '2026-04-13T15:19:01.980005+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17977606', 'Gig0-0_In_uPackets': '159714', 'Gig0-0_Out_Octet': '11932686', 'Gig0-0_Out_uPackets': '107085'}
{'Time': '2026-04-13T15:20:01.787978+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17978442', 'Gig0-0_In_uPackets': '159721', 'Gig0-0_Out_Octet': '11933845', 'Gig0-0_Out_uPackets': '107096'}
{'Time': '2026-04-13T15:21:01.447490+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17979325', 'Gig0-0_In_uPackets': '159729', 'Gig0-0_Out_Octet': '11935082', 'Gig0-0_Out_uPackets': '107108'}
{'Time': '2026-04-13T15:22:01.921302+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17980211', 'Gig0-0_In_uPackets': '159737', 'Gig0-0_Out_Octet': '11936304', 'Gig0-0_Out_uPackets': '107120'}
{'Time': '2026-04-13T15:23:01.694329+00:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17981097', 'Gig0-0_In_uPackets': '159745', 'Gig0-0_Out_Octet': '11937526', 'Gig0-0_Out_uPackets': '107132'}
